PT	UT	PM	DT	LT	TI	FT	AU	CA	BA	BE	PN	AE	DG	PC	PL	SO	SE	PY	PD	VL	IS	PS	BP	EP	LA	ME	CT	CL	CY	SP	AB	C1	EM	RI	OI	U1	U2	CR	NR	TC	Z9	PU	PA	SC	SN	EI	DI	BN	MC	CC	TA	DS	CH	GN	SD	GE	TM	MQ	PR	MI	OA	HC	HP	DA	
J	BCI:BCI201800871587				Estrogen-driven noncanonical WNT4 signaling is essential for proliferation and survival in lobular carcinoma cells.		Rao, Deviyani M.; Ferguson, Rebecca; Sikora, Matthew J.									Molecular Cancer Research		2018	AUG 2018	16	8, Suppl. S	44-45	44	45																					1541-7786	1557-3125																			
J	BCI:BCI201800895509				Arginase is an enzyme with real tricks in antitumor treatment of 7,12-dimethylbenz(a) anthracene induced breast cancer in rats		Petrosyan, G.; Avtandilyan, N.; Javrushyan, H.; Trchounian, A.									FEBS Open Bio		2018	JUL 2018	8	Suppl. 1	385-386	385	386																					2211-5463	2211-5463																			
J	BCI:BCI201800673833	29317235			Differentiating breast carcinoma with signet ring features from gastrointestinal signet ring carcinoma: assessment of immunohistochemical markers		Hui, Yiang; Wang, Yihong; Nam, Gahie; Fanion, Jacqueline; Sturtevant, Ashlee; Lombardo, Kara A.; Resnick, Murray B. (mresnick@lifespan.org)									Human Pathology		2018	JUL 2018	77		11-19	11	19							Signet ring morphology is recognized throughout the gastrointestinal tract. However, this pattern may be observed in other primary sites giving rise to diagnostic challenges in the work-up of metastases. Relatively newer immunohistochemical markers have not been evaluated in this context. We assessed expression patterns of several common immunohistochemical markers in tumors with Signet ring morphology to delineate a pragmatic approach to this differential diagnosis. Primary breast and gastrointestinal carcinomas showing Signet ring features were reviewed. Non-mammary and non-gastrointestinal tumors with this morphology were included for comparison. Estrogen receptor (ER), progesterone receptor (PR), E-cadherin, CK7, CK20, GCDFP-15, mammaglobin, CDX2, GATA-3, and HepPar-1 immunohistochemistry was performed. Expression patterns were compared between breast and gastrointestinal tumors as well as lobular breast and gastric tumors. Ninety-three cases were identified: 33 breast carcinomas including 13 lobular, 50 gastrointestinal tumors including 23 gastric, and 10 from other sites. ER (sensitivity=81.8%, specificity = 100%, positive predictive value (PPV) = 100%, negative predictive value (NPV) = 89.3%) and GATA-3 (sensitivity = 100%, specificity = 98%, PPV = 96.8%, NPV = 100%) expression were associated with breast origin. CK20 (sensitivity = 66.7%, specificity=93.3%, PPV = 94.1%, NPV = 63.6%) and CDX2 (sensitivity = 72%, specificity = 100%, PPV = 100%, NPV = 68.9%) demonstrated the strongest discriminatory value for gastrointestinal origin. These markers exhibited similar discriminatory characteristics when comparing lobular and gastric signet ring carcinomas. In a limited trial on metastatic breast and gastric cases, these markers successfully discriminated between breast and gastric primary sites in 15 of 16 cases. ER and GATA-3 are most supportive of mammary origin and constitute an effective panel for distinguishing primary breast from primary gastrointestinal Signet ring tumors when combined with CK20 and CDX2 immunohistochemistry. (C) 2018 Elsevier Inc. All rights reserved.														0046-8177	1532-8392	10.1016/j.humpath.2018.01.002																		
J	BCI:BCI201800607591	29870876			Histologic heterogeneity of triple negative breast cancer: A National Cancer Centre Database analysis		Mills, Matthew N.; Yang, George Q.; Oliver, Daniel E.; Liveringhouse, Casey L.; Ahmed, Kamran A.; Orman, Amber G.; Laronga, Christine; Hoover, Susan J.; Khakpour, Nazanin; Costa, Ricardo L. B.; Diaz, Roberto (Roberto.Diaz@moffitt.org)									European Journal of Cancer		2018	JUL 2018	98		48-58	48	58							Background: Triple negative breast cancer (TNBC) is an aggressive disease, but recent studies have identified heterogeneity in patient outcomes. However, the utility of histologic subtyping in TNBC has not yet been well-characterised. This study utilises data from the National Cancer Center Database (NCDB) to complete the largest series to date investigating the prognostic importance of histology within TNBC.Methods: A total of 729,920 patients (pts) with invasive ductal carcinoma (IDC), metaplastic breast carcinoma (MBC), medullary breast carcinoma (MedBC), adenoid cystic carcinoma (ACC), invasive lobular carcinoma (ILC) or apocrine breast carcinoma (ABC) treated between 2004 and 2012 were identified in the NCDB. Of these, 89,222 pts with TNBC that received surgery were analysed. KaplaneMeier analysis, log-rank testing and multivariate Cox proportional hazards regression were utilised with overall survival (OS) as the primary outcome.Results: MBC (74.1%), MedBC (60.6%), ACC (75.7%), ABC (50.1%) and ILC (1.8%) had significantly different proportions of triple negativity when compared to IDC (14.0%, p < 0.001). TNBC predicted an inferior OS in IDC (p < 0.001) and ILC (p < 0.001). Lumpectomy and radiation (RT) were more common in MedBC (51.7%) and ACC (51.5%) and less common in MBC (33.1%) and ILC (25.4%), when compared to IDC (42.5%, p < 0.001). TNBC patients with MBC (HR 1.39, p < 0.001), MedBC (HR 0.42, p < 0.001) and ACC (HR 0.32, p = 0.003) differed significantly in OS when compared to IDC.Conclusion(s): Our results indicate that histologic heterogeneity in TNBC significantly informs patient outcomes and thus, has the potential to aid in the development of optimum personalised treatments. (C) 2018 Elsevier Ltd. All rights reserved.														0959-8049	1879-0852	10.1016/j.ejca.2018.04.011																		
J	BCI:BCI201800622519	29388904			Breast MR Imaging before Surgery: Outcomes in Patients with Invasive Lobular Carcinoma by Using Propensity Score Matching		Ha, Su Min; Chae, Eun Young (chaeey@amc.seoul.kr) ; Cha, Joo Hee; Kim, Hak Hee; Shin, Hee Jung; Choi, Woo Jung									Radiology		2018	JUN 2018	287	3	771-777	771	777							Purpose: To investigate the association between preoperative breast magnetic resonance (MR) imaging and surgical outcomes in patients with invasive lobular carcinoma (ILC) by using propensity score matching to decide whether MR examination is beneficial in the ILC subtype of breast cancer.Materials and Methods: The authors identified 603 patients with ILC who underwent surgery between January 2005 and December 2016. Of the 603 patients, 369 (61.2%) underwent MR imaging. The authors calculated the MR detection rate of additional lesions that were occult at mammography and ultrasonography and analyzed any alterations in surgical management. After propensity score matching, 196 pairs of patients were allocated to the groups, and the 17 possible confounding variables regarding patient and tumor characteristics and various clinical features were well balanced between the patients who underwent MR imaging and those who did not. Surgical outcomes were compared.Results: Of the 369 patients who underwent MR imaging, additional lesions were detected in 145 (39.3%); 95 of the 145 patients (65.5%) had malignant lesions. A change in surgical management occurred because of MR findings in 94 of the 369 patients (25.5%). According to pathologic findings, this change was appropriate for 84 of the 94 patients (89.4%). In the propensity score-matched analysis, breast MR imaging was associated with lower odds of repeat surgery (odds ratio, 0.140; P < .001) and similar likelihood of initial mastectomy (odds ratio, 0.876; P = .528) and final mastectomy (odds ratio, 0.744; P = .151) compared with patients without breast MR imaging.Conclusion: Preoperative MR imaging is useful for detecting additional synchronous malignancy and significantly reducing the likelihood of repeat surgery without increasing the rate of mastectomy in patients with ILC. (C) RSNA, 2018.														0033-8419		10.1148/radiol.2018171472																		
J	BCI:BCI201800496138	29436376			Breast carcinoma in sclerosing adenosis: a clinicopathological and immunophenotypical analysis on 206 lesions		Yu, Bao-Hua; Tang, Shao-Xian; Xu, Xiao-Li; Cheng, Yu-Fan; Bi, Rui; Shui, Ruo-Hong; Tu, Xiao-Yu; Lu, Hong-Fen; Zhou, Xiao-Yan; Yang, Wen-Tao (yangwt2000@163.com)									Journal of Clinical Pathology (London)		2018	JUN 2018	71	6	546-553	546	553							Aims To fully elucidate the clinicopathological features of breast carcinoma in sclerosing adenosis (SA-BC).Methods Clinical and histological characteristics of 206 SA-BCs from 180 patients were retrospectively evaluated. Immunohistochemical phenotype was examined. The clinicopathological relevance of the topographical pattern of SA-BCs was analysed.Results Overall, up to 46 patients (25.6%) had contralateral cancer, either SA associated or not. Of 99 cases who underwent core needle biopsy (CNB), 36 were underestimated as adenosis or atypical ductal hyperplasia at CNB, 5 invasive cases were misinterpreted as in situ carcinomas, whereas 4 ductal carcinoma in situ (DCIS) cases were overdiagnosed as invasive carcinoma. Microscopically, 163 tumours were in situ, including 136 DCIS, 19 lobular carcinomas in situ (LCIS) and 8 mixed DCIS/LCIS; of these carcinomas in situ (CIS), 37 had microinvasion. The DCIS group exhibited low, intermediate and high grades in 53.7%, 34.6% and 11.8% of cases, respectively, mostly with solid (43.4%) or cribriform (41.9%) pattern. Forty out of 43 invasive cases were invasive ductal carcinoma (IDC), mostly DCIS predominant. Immunophenotypically, luminal A phenotype was identified in 55.1%, 63.2% and 45.0% of DCIS, LCIS and IDC cases, respectively. Topographical type A group (carcinoma being entirely confined to SA, n=176) was characterised by smaller size, less invasiveness, lower grade and more frequency of luminal A immunophenotype compared with type B group ( 50% but not all of the carcinomatous lesion being located in SA, n=30) (all P<0.05).Conclusions CIS, especially non-high-grade DCIS, represents the most common variant of SA-BC, and luminal A is the most predominant immunophenotype. CNB assessment might be challenging in some SA-BCs. The topographical pattern has great clinicopathological relevance. Careful evaluation of the contralateral breast and long-term follow-up for patients with SA-BC is necessary given its high prevalence of bilaterality.														0021-9746	1472-4146	10.1136/jclinpath-2017-204751																		
J	BCI:BCI201800688152				Reducing actin contraction in E-cadherin inactivated mammary epithelial cells leads to the development of invasive lobular carcinoma.		Schipper, Koen; Nethe, Micha; Kas, Sjors M.; de Ruiter, Julian R.; Drenth, Anne Paulien; van der Burg, Eline; Boon, Ute; Schut, Eva; Jonkers, Jos									Cancer Research		2018	MAY 2018	78	10, Suppl. S	52-53	52	53																					0008-5472	1538-7445																			
J	BCI:BCI201800679303	29794798			Colonic metastasis from breast carcinoma detection by CESM and PET/CT: A case report		Falco, Giuseppe; Mele, Simone; Zizzo, Maurizio (zizzomaurizio@gmail.com) ; Di Grezia, Graziella; Cecinato, Paolo; Besutti, Giulia; Coiro, Saverio; Gatta, Gianluca; Vacondio, Rita; Ferrari, Guglielmo									Medicine (Hagerstown)		2018	MAY 2018	97	21	Article No.: e10888	e10888								Introduction:Metastatic spread in invasive lobular carcinoma (ILC) of breast mainly occurs in bones, gynecological organs, peritoneum, retroperitoneum, and gastrointestinal (GI) tract. Metastases to the GI tract may arise many years after initial diagnosis and can affect the tract from the tongue to the anus, stomach being the most commonly involved site. Clinical presentations are predominantly nonspecific, and rarely asymptomatic. CEA, CA 15-3, and CA 19-9 may be informative for symptomatic patients who have had a previous history of breast cancer.Case presentation:We introduce the case of asymptomatic colonic metastasis from breast carcinoma in a 67-year-old woman followed-up for Luminal A ILC. Diagnosis was performed through positron emission tomography/computed tomography (PET/CT) scan and contrast-enhancement spectral mammography (CESM), steering endoscopist to spot the involved intestinal tract and in ruling out further dissemination in the breast parenchyma.Conclusion:In colonic metastases, tumor markers might not be totally reliable. In asymptomatic cases, clinical conditions might be underappreciated, missing local or distant recurrence. CT and PET/CT scan might be useful in diagnosing small volume diseases, and steering endoscopist toward GI metastasis originating from the breast. CESM represents a tolerable and feasible tool that rules out multicentricity and multifocality of breast localization. Moreover, particular patients could tolerate it better than magnetic resonance imaging (MRI).				Zizzo, Maurizio/0000-0001-9841-7856										0025-7974	1536-5964	10.1097/MD.0000000000010888																		
J	BCI:BCI201800609300	29408697			Strong androgen receptor expression can aid in distinguishing GATA3+metastases		Boto, Agedi (agedi.boto@yale.edu) ; Harigopal, Malini (malini.harigopal@yale.edu)									Human Pathology		2018	MAY 2018	75		63-70	63	70							GATA3 is a transcription factor used clinically as a marker of breast or urothelial differentiation. A marker is yet needed to distinguish this in the case of the GATA3-positive tumor of unknown origin. We tested classical markers of breast differentiation and hormonal signaling to see which correlated strongest with GATA3 expression in breast cancer and thus which could help correctly identify breast origin in the case of the GATA3-positive tumor of unknown origin. GATA3, estrogen receptor, progesterone receptor, androgen receptor (AR), HER2, GCDFP15, and mammaglobin expression was intercorrelated in a histologically diverse 259-case breast cancer tissue microarray. We show herein a uniquely high level of correlation between GATA3 and AR expression (r = 0.61; 95% confidence interval 0.52-0.68) that was strongest among lobular carcinomas (r = 1; 95% confidence interval 0.73-1) and stronger than any other correlation studied. Separate AR staining of 10 metastatic GATA3+ carcinomas of urothelial origin and 13 metastatic GATA3+ carcinomas of breast origin showed that strong AR staining (>60% of tumor cells) has a sensitivity of 54% and a specificity of 100% for correctly distinguishing GATA3+ carcinoma of mammary origin from urothelial origin in the metastatic setting. Androgen receptor expression is strongly correlated with GATA3 in breast cancer, particularly in tumors with lobular morphology. Strong AR expression (>60% of tumor cells) is an excellent test to rule out urothelial carcinoma in the GATA3+ metastatic setting (specificity 100%) and will effectively identify breast origin in approximately 50% of cases. (C) 2018 Elsevier Inc. All rights reserved.														0046-8177	1532-8392	10.1016/j.humpath.2018.01.024																		
J	BCI:BCI201800583282	29475895			Comprehensive analysis of haemostatic profile depending on clinicopathological determinants in breast cancer patients		Rhone, Piotr; Ruszkowska-Ciastek, Barbara (ruszkowska.basia@gmail.com) ; Bielawski, Kornel; Brkic, Alen; Zarychta, Elzbieta; Goralczyk, Barbara; Roszkowski, Krzysztof; Rosc, Danuta									Bioscience Reports		2018	APR 27 2018	38	Part 2	Article No.: BSR20171657	BSR20171657								Thrombosis is one of the leading causes of mortality in cancer patients. The aim of the study was to evaluate the concentrations and activities of selected haemostatic parameters in the plasma of patients diagnosed with breast cancer (BrCa) and to make an attempt at finding associations with their levels and selected clinicopathological factors; clinical classification, histological grading, and molecular subtype of BrCa. The study involved 145 Caucasian ethnicity women. Eighty-five women aged 45-66 with primary BrCa without distant metastases (M0). Inclusion criteria were as follows: histopathological examination confirming the diagnosis of primary BrCa, without previous radiotherapy and chemotherapy. The control group consisted of 60, post-menopausal women, aged 45-68. Haemostatic profile expressed by concentrations and activities of tissue factor (TF) and its inhibitor (TFPI) as well as concentrations of tissue plasminogen activator (t-PA) and plasminogen activator inhibitor type 1 (PAI-1) were measured applying immunoassay techniques. A significantly higher concentration of PAI-1 was noted in patients with BrCa localized in the left breast. We observed significantly lower activity of TFPI and significantly higher concentration of PAI-1 in the group of patients with invasive ductal carcinoma as compared with invasive lobular carcinoma. A significantly higher concentration of t-PA in patients with pT2 BrCa in relation to pT1 cases was noted. Based on comprehensive analysis of haemostatic profile depending on clinicopathological features, we suggest that haemostatic parameters play crucial roles in invasion and metastases of malignant tumours.			Ruszkowska-Ciastek, Barbara/H-7222-2014; Rhone, Piotr/C-1127-2017											0144-8463	1573-4935	10.1042/BSR20171657																		
J	BCI:BCI201800528635	29672601			Expression of immune checkpoint regulators, cytotoxic T lymphocyte antigen 4 (CTLA-4) and programmed death-ligand 1 (PD-L1), in female breast carcinomas		Kassardjian, Ari; Shintaku, Peter I.; Moatamed, Neda A. (nmoatamed@mednet.ucla.edu)									PLoS One		2018	APR 19 2018	13	4	Article No.: e0195958	e0195958								BackgroundImmune checkpoint regulators, cytotoxic T lymphocyte antigen 4 (CTLA-4) and the programmed cell death protein-1/programmed death-ligand 1 (PD-1/PD-L1) have emerged as promising new targets for cancer therapeutics. While tumor expression of PD-L1 has been shown to have objective responses to anti-PD-L1 immunotherapies, the clinical implications of CTLA-4 expression in tumor cells or immune cells in the tumor microenvironment is still controversial. We investigated the expression of CTLA-4 and PD-L1 in human breast tumors and provided a scoring system for the systematic evaluation of CTLA-4 staining.MethodsImmunohistochemical staining for PD-L1 and CTLA-4 expression was performed on a tissue microarray of 102 cores, which included normal and neoplastic breast tissues. Neoplastic cores were divided into four groups: Ductal carcinoma in situ (DCIS), invasive ductal carcinoma (IDC), invasive lobular carcinoma (ILC) and invasive tubular carcinoma (ITC). PD-L1 and CTLA-4 expressions were scored based on a system which accounted for the percentage and intensity of positivity and results provided in conjunction with available clinical and demographic data.ResultsOverall, CTLA-4 was over-expressed in 49 of 93 (52.7%) breast tumors. Subcategorically, CTLA-4 was positive in 3 of 8 (37.5%) ductal carcinoma in situ, 40 of 73 (55%) of invasive ductal carcinomas, 4 of 10 (40%) of invasive lobular carcinomas and 2 of 2 (100%) of invasive tubular carcinomas. All 6 normal breast tissues were interpreted as negative for CTLA-4 staining. Only 4.1% of the invasive ductal carcinomas were positive for PD-L1 reactivity and the remaining carcinomas stained negative.ConclusionsThis study shows a significant overexpression of CTLA-4 in >50% of breast carcinomas with no such overexpression of CTLA-4 in benign breast tissues. PDL-1 staining is seen in only a small number of invasive ductal carcinomas (4.1%). These findings suggest the need for further investigation of anti-CTLA-4 and anti-PD-L1 immunotherapies and their efficacy in the treatment of breast carcinomas with overexpression of these immune modulators. In addition, the proposed scoring system will facilitate a more systematic correlation between tumor reactivity and clinical outcome which can be applied to all intracytoplasmic tumor markers.				Moatamed, Neda/0000-0002-9986-8058										1932-6203	1932-6203	10.1371/journal.pone.0195958																		
J	BCI:BCI201800500613	29649327			Evaluation of intraoperative touch imprint cytology on axillary sentinel lymph nodes in invasive breast carcinomas, a retrospective study of 1227 patients comparing sensitivity in the different tumor subtypes		Petursson, Hafsteinn Ingi (hafsteinn.petursson@vgregion.se) ; Kovacs, Aniko; Mattsson, Jan; Bagge, Roger Olofsson									PLoS One		2018	APR 12 2018	13	4	Article No.: e0195560	e0195560								BackgroundIntraoperative evaluation of the axillary sentinel lymph node (SLN) in patients with breast carcinoma reduces the need of re-operations in cases where an axillary completion lymph node dissection (CLND) is indicated. Different methods have been used to determine the SLN status intraoperatively, e.g. frozen section histology (FS) and touch imprint cytology (TIC). The sensitivity of intraoperative TIC examination on SLN is not consistent between different studies and varies according to different tumor histologic subtypes, tumor size and the age of the patient. The aim of this study was to describe the specificity and sensitivity of TIC and to compare TIC sensitivity in the different histological subtypes of breast carcinoma.MethodsA retrospective review was performed of 1227 consecutive clinically node negative breast cancer patients treated with sentinel lymph node biopsy (SLNB) with intraoperative TIC between the years 2003 and 2008. The SLN was bisected and stained using the May-Grun-wald-Giemsa method and immunocytochemically with the antibody MNF-116.ResultsThe overall sensitivity of the TIC test was 68.6% and the specificity was 99.8%. There was no statistically significant difference between the detection of SLN metastases from ductal carcinoma versus lobular carcinoma. The sensitivity improved over the period of the study.ConclusionTIC is highly specific with an acceptable overall sensitivity. The sensitivity increased under the period of the study and it was higher in cases with larger size of the primary tumor. There was no difference in TIC sensitivity between the different histological subtypes.														1932-6203	1932-6203	10.1371/journal.pone.0195560																		
J	BCI:BCI201800849093	29484487			'In Vitro', 'In Vivo' and 'In Silico' Investigation of the Anticancer Effectiveness of Oxygen-Loaded Chitosan-Shelled Nanodroplets as Potential Drug Vector		Khadjavi, Amina; Stura, Ilaria (ilaria.stura@unito.it) ; Prato, Mauro; Minero, Valerio Giacomo; Panariti, Alice; Rivolta, Ilaria; Gulino, Giulia Rossana; Bessone, Federica; Giribaldi, Giuliana; Quaglino, Elena; Cavalli, Roberta; Cavallo, Federica; Guiot, Caterina									Pharmaceutical Research (Dordrecht)		2018	APR 2018	35	4										Purpose Chitosan-shelled/decafluoropentane-cored oxygen-loaded nanodroplets (OLN) are a new class of nanodevices to effectively deliver anti-cancer drugs to tumoral cells. This study investigated their antitumoral effects 'per se', using a mathematical model validated on experimental data.Methods OLN were prepared and characterized either in vitro or in vivo. TUBO cells, established from a lobular carcinoma of a BALB-neuT mouse, were investigated following 48 h of incubation in the absence/presence of different concentrations of OLN. OLN internalization, cell viability, necrosis, apoptosis, cell cycle and reactive oxygen species (ROS) production were checked as described in the Method section.In vivo tumor growth was evaluated after subcutaneous transplant in BALB/c mice of TUBO cells either without treatment or after 24 h incubation with 10% v/v OLN.Results OLN showed sizes of about 350 nm and a positive surface charge (45 mV). Dose-dependent TUBO cell death through ROS-triggered apoptosis following OLN internalization was detected. A mathematical model predicting the effects of OLN uptake was validated on both in vitro and in vivo results.Conclusions Due to their intrinsic toxicity OLN might be considered an adjuvant tool suitable to deliver their therapeutic cargo intracellularly and may be proposed as promising combined delivery system.				Giribaldi, Giuliana/0000-0003-1374-1919										0724-8741	1573-904X	10.1007/s11095-018-2371-z																		
J	BCI:BCI201800491280				Effects of obesity and overweight on survival in patients with breast cancer: Single center experience		Chiappa, C.; Fachinetti, A.; Boeri, C.; Rovera, F.									European Journal of Cancer		2018	APR 2018	92	Suppl. 3	S42-S43	S42	S43																					0959-8049	1879-0852																			
J	BCI:BCI201800491600				Breast cancer among pregnant women- A challenging situation		Fatima, A.; Zaidi, S. S. A.									European Journal of Cancer		2018	APR 2018	92	Suppl. 3	S149	S149																						0959-8049	1879-0852																			
J	BCI:BCI201800491613				The value of 18 F-FDG PET-CT scanning in stage II and III lobular breast carcinoma		Fris, J.; Duchateau, C.; Merkus, J.									European Journal of Cancer		2018	APR 2018	92	Suppl. 3	S153	S153																						0959-8049	1879-0852																			
J	BCI:BCI201800491626				Histopathologic characteristics in synchronous bilateral breast cancer patients: A nationwide Danish cohort study from 1999-2015		Mejdahl, M. K.; Kroman, N.; Balslev, E.; Wohlfahrt, J.; Melbye, M.; Tjonneland, A.; Holm, M.									European Journal of Cancer		2018	APR 2018	92	Suppl. 3	S157	S157																						0959-8049	1879-0852																			
J	BCI:BCI201800491529				Mechanism of net acid extrusion from human breast cancer tissue depends on histopathology and the expression of sex hormone and growth factor receptors		Mele, M.; Toft, N. M.; Pedersen, H. L.; Balling, E.; Johansen, T.; Christiansen, P.; Boedtkjer, E.									European Journal of Cancer		2018	APR 2018	92	Suppl. 3	S126-S127	S126	S127																					0959-8049	1879-0852																			
J	BCI:BCI201800491430				Management of local and locoregional triple-negative breast cancer		Messoudi, K.; Zouiten, O.; Oualla, K.; Bedoudou, H.; Acharfi, N.; Erraichi, H.; Berrad, S.; Amaadour, L.; Benbrahim, Z.; M'rabet, F.; Arifi, S.; Mellas, N.									European Journal of Cancer		2018	APR 2018	92	Suppl. 3	S91	S91																						0959-8049	1879-0852																			
